title,price,description
"
		Laser
	",3.900,
"
		Veleiro Trimarã Maora
	",5.900,"<p>Veleiro Maora Trimarã<br><br>TENHO UMA UNIDADE NA COR BRANCA, e vela de filme transparente<br><br>Desmontável, <br><br><br><br>pode ser usado na configuração Trimarã ou com apenas um flutuador ( configuração canoa havaiana )<br><br>Em plastico ABS , pode ser transportado em cima do rack do carro</p>"
"
		Artesanal
	",450.000,"<p>escuna quilhada em madeira de lei construida na amazonia.<br>equipamentos de navegacao<br> completos, auto pilot, radar, plotter gps ,etc<br>catracas Lewmar e SII 68 ST<br>Velas (7) Dacron, 400 m2<br>guincho trifasico com corrente galvanizada.<br>2 geradores, 12 e 35 kw.<br>motor Scania D11 com reversao Twin Disc MG 509 hydraulica 4,5 / 1.<br>Leme hydraulico Sperry Vickers.<br>50 vigias de bronze.<br>1 suite 24 m2.<br>2 cabines e banheiro.<br>Salao 40 m2.<br>cozinha bar.<br>Cabine radio com eletronicos Furuno.<br>a disposicao para maiores informacoes.</p>"
"
		Veleiro Velamar 31 Oceânico Yanmar 3gm30 Com 1500h Impecável
	",25.000,"<p>Três cotas já vendidas, somente uma cota disponível.<br><br>SISTEMA DE 4 COTAS SOMENTE, UM ÓTIMO NEGOCIO APENAS QUATRO PESSOAS PARA CURTIR O BARCO E DIVIDIR AS DESPESAS sistema de cotas o custo é baixíssimo para cada proprietário, mensal de 300,00 de despesas ( a poita do barco é própria custo zero ) fica em Ubatuba Saco da Ribeira. ( INFORMAÇÕES POR ZAP )<br>REALIZE SEU SONHO DE TER UM VELEIRO DE 31 PÉS POR APENAS 25 MIL REAIS ( PREÇO DE UM 19 PÉS ) IMPERDÍVEL.<br> Veleiro montado para cruzeiro motor Yanmar 3GM30 ano 2002 impecável, armários e compartimentos em todo barco para mantimentos em grande travessias, enrolador genoa, capas de mestra dog house bimini todas em otimo estado, targa com placa solar muito robusta, selo mecânico volvo penta original nada de água no porão, duas caixas de água cada uma 50 litros, tanque de diesel em inox de 50 litros novo e limpo, revisão do motor feito em novembro motor impecável com 1500 horas churrasqueira de inox salvatagem pirotécnicos o barco esta homologado para navegação oceânica radio VHS piloto automático ST 2000 stais de 8 mm em ótimo estado, uma variedade de cabos ferramentas equipamentos reserva e etc ....barco navegando pronto para uso, fundo pintado junho de 2018 com WEG2400 tem mais de um ano de fundo ainda pela frente excelente tinta, duas ancoras uma Rocca nova zero, 5 metros de corrente, o barco é extremamente oceânico já correu a Refeno com antigo dono e já foi duas vezes a Noronha de angra, passo ferias com minha família nele ficamos sempre em Angra saindo de Ubatuba, esta no Saco da Ribeira em Ubatuba, vale a pena ver<br>tem videos no youtube e Facebook<br>entrar em <br>veleiro atmosfera ubatuba</p>"
"
		Veleiro Dufor 500 De 50 Pés Ano 2013/14 Fabricação Francesa
	",2.000.000,"<p>VELEIRO DUFOUR 500 GL GRAND LARGE ANO 2013/ 2014 <br><br>Motor Volvo Penta 75 hps turbo rabeta helice folding com aproximadamente 230 horas de uso<br>Gerador Fischer Panda 7 KWA<br>2 aparelhos de ar condicionado proa e salão 16.500 Btus e cabines de popa 12.500 Btus<br>Eletrônicos Raymarine<br>2 Display I 70 na roda de leme de BB e de BE<br>Gps Plotter E95 (Wifi e Bluetooth) na mesa de navegação<br>Radar digital 18"" 4 Kw para Gps Chart Plotter<br>Piloto P 70 com motor rotativo Lewmar<br>Auto falante para VHF no cockpit<br>Rádio Vhf DSC Raymarine 49E com antena importada<br>2 bussolas<br>2 Rodas de leme Fastnet pretas com acabamento em couro preto<br>Pintura de fundo realizada em 15/01/2014<br>Seguro total com cobertura para regatas<br>Bote 2,20m novinho sem uso<br>Cabos e defensas com capas<br>Enchoval completo com logo bordados, lençois, toalhas etc Bordados a Bordo<br>Balsa de abandono para 8 pessoas<br>Savatagem completa<br>Vela mestra de enrolar dentro do mastro<br>Genoa com enrolador embutido no convés<br>Aparelho de spy assimétrico com gurupes<br>Conjunto de catracas para as escotas do Spy T50<br>Catraca elétrica no topo da cabine de BB modelo T45<br>Ancora com suporte dobrável embutida no convés com guincho elétrico de 1.400 wats e 50 m de corrente calibrada mais cabo<br>Bomba de água salgada para limpeza da ancora<br>Proteção de proa em inox<br>Dog house e bimini top com fechamento total<br>Solario dobrável no banco co cockpit de BB<br>Estofados de cockpit e solario<br>Mesa do salão transformável em cama<br>3 banheiros completos sendo dois vasos elétricos e um vaso manual<br>3 suites completas<br>Som CD com autofalantes marinizados<br>Burro rígido<br>Mesa de cockpit com geladeira em inox, pia com agua quente e fria integrada e acabamento em teka<br>Ducha de cockpit quente e fria<br>Entrada lateral nos guarda mancebos<br>4 vigias viradas para o cockpit<br>8 baterias e carregador automático de baterias<br>Inversor de baterias<br>Todas as luzes em LED<br>Ducha em separado<br>Bomba de ducha automática<br>Cortinas para as escotilhas e telas de mosquiteiros<br>3 Geladeiras elétricas e 1 freezer<br>Fogão com forno em inox<br>Microondas<br>Máquina de café Expresso<br>Bomba de água salgada de pé<br>Tanques de águas negras na proa e popa<br>Conjunto de talheres e louças Dofour para 8 pessoas<br>Kit de limpeza<br>Fundo do cockpit, plataforma de popa, bancos e solario do cockpit em madeira Teka<br>Bowthruster retrátil na proa<br>Bombas de porão com automáticos<br>Acabamento interno em madeira clara carvalho<br>Churrasqueria a gás no cockpit<br>Documentação em ordem totalmente legalizado<br>Equipamento novos instalados em setembro de 2014<br>2 Displays Raymarine e 97(Plotter, carta, radar, sonda) instalados, um em cada estrutura de leme, integrados ao equipamento e95 principal.<br>AIS 650 instalado e integrado à telas<br>Transducer 600W para o casco (sonda fish finder) (não instalado – seria instalado na próxima subida do barco)<br> ANTENA DE SKY VIA SATÉLITE NOVA<br>TENHO OUTRAS OPÇÕES EM BARCOS A VENDA COMO VELEIROS, LANCHAS TRAWLERS E CATAMARÃS</p>"
"
		Veleiro Clássico (quilha Longa) Todo Em Madeira De Lei
	",98.000,"<p>O projeto original Sueco foi idealizado como uma classe de regatas cujo nome era Skjaergärdskrysser .<br>Traduzindo livremente seria mais ou menos navegador dos recifes <br>O casco foi projetado no início do século passado. É TODA em madeira de lei, inclusive o mastro e o leme. Só a parte final da quilha (500kg) é de chumbo.<br>Foi lançada no Brasil no Boat-Show de Abril de 2012. <br>A Sea-Whysper é deliciosamente gentil nas manobras devido à quilha longa e sua orça tem grande vigor (a despeito da pequena área vélica) e ainda assim é muito suave devido ao peso do casco de madeira e quilha de chumbo, é um veleiro para velejadores clássicos.<br>Sua velocidade não é estupenda mas a leveza com a qual ela singra as águas mais turbulentas é incomparável.<br>Ou seja, traduzindo. Não é um veleiro estupidamente veloz mas tem uma tenacidade VIKING!! No jargão do mar, uma embarcação marinheira.<br>Sua estabilidade e respeito ao curso são também estupendos.<br><br>Comprimento na linha d'água: 5 metros<br>Boca máxima: 1,70m<br>Altura do mastro: 7,60m<br><br>Material:<br><br>Madeira do Casco e Mastro: Cedro Canadense.<br>Madeira do Deck: Teka e JAcarandá Rosa.<br>Madeira do espelho popa: Jacarandá Rosa.<br>Madeira das cavernas: Pau Ferro de Burma ou Acácia.<br><br>Peça um email para obter mais informações</p>"
"
		Veleiro De Oceano Para Navegação Em Altas Latitudes
	",1.600.000,"<p>Veleiro de 51', construído em alumínio aeronáutico por Thierry Stump, o mesmo construtor do veleiro Paratii 2, utilizado por Amyr Klink para a circunavegação polar sul em 2003, e do veleiro Pangeia do conhecido navegador Mike Horn.<br>Veleiro de estabilidade incomparável, construído para navegações em condições de mar e tempo críticas, sendo estanque com fechamento por porta hermética.<br>Uma embarcação como essa leva cerca de 2 a 3 anos no mínimo para ser construída.<br>Agora a venda em estado de nova e equipada para viagens e travessias!!<br>Ficha Técnica:<br>•Thierry Stump / 51 ViniNautus<br>•Ano: 2011<br>•Horas de Uso: 750<br>•Motor(es): 1<br>•Combustível: Diesel<br>•Pés: 51<br>•Banheiros: 1<br>•Telefone Satélite<br>•Cameras de segurança DVD-RW, <br>•GERADOR Koller 9kwa, Eólico, 700 watts Painel solar<br>•Quilha retrátil 3m e 500kg - hidraulina, 2 patilhões 2Tn<br>•Calado 1 m (fica de pé apoiado somente nos patilhões sem carreta)<br>•2 lemes hidráulicos;<br>•Barco de Aluminio calandrado 1ª chapa 12” , 2ª chapa 10”, 3ª chapa 8”, Convés chapa de 5”<br>•Proa e popa com compartimento estanque a prova de choque<br>•Água 2 mil litros em dois tanques<br>•Diesel 2 mil litros no tanque dia, com sistema de filtragem de diesel<br>•Motor 110hp Yanmar turbo (consumo 5 l/h em cruzeiro)<br>•Enrolador de genoa HARKEN elétrico <br>•Catracas ANDERSEN ( Dinamarquesas ) 62 e 48 sendo elétricas do convés<br>•Convés e ferragens todas Harken<br>•Acabamento em Teka <br>•Hélice Folding Gori <br>•Leme duplo <br>•Mestra, Genoa, Trinketa self e code zero<br>•Fogão elétrico, microondas, boiler <br>•Freezer <br>•2 aparelhos de ar condicionado.<br>•Eletrônicos: 2 pilotos ( selecionáveis, sendo um contínuo e o outro normal <br>•Radar – AIS – SONDA – RADIO – 02 Charter Ploters (um na cabine outro no convés)<br>• 02 Guinhos <br>•Chuveiro água quente e fria na popa<br>•TV – 2 DVDS</p>"
"
		Catamarã Bv 36
	",490.000,"<p>Equipamentos<br><br>* Dois camarotes de casal na popa e dois camarotes de solteiro na proa.<br><br>* Dois motores Yanmar diesel de 29 HP (motor náutico para veleiros de última geração), e tanque com capacidade de 300 litros de diesel;<br><br>* Dois banheiros, sendo um com chuveiro, além de água pressurizada para banho;<br><br>* Sanitários elétricos Jabsco (motores novos);<br><br>* Chuveiro externo para banho (água doce e salgada);<br><br>* Tanque de água potável com capacidade para 400 litros;<br><br>* Geladeira náutica Elber 12 v (precisa de manutenção corretiva);<br><br>* Freezer Consul 121 litros;<br><br>* Fogão inox 4 bocas com forno autolimpante;<br><br>* Liquidificador;<br><br>* Ventilador em cada camarote e no vão central (110v);<br><br>* Churrasqueira Náutica Magma;<br><br>* Microondas Panasonic Picollo;<br><br>* TV de LED de 22”, que funciona com 12v, 110v ou 220v;<br><br>* Ar condicionado Springer Carrier Duo de 7500 Btus no vão central (sala), usando somente com energia externa;<br><br>* Epirb McMurdo 406 MHz (rádio-baliza indicadora de posição de emergência);<br><br>* SPOT (localizador por satélite);<br><br>* Plotter/GPS Lowrance HDS-5 com cartas náuticas Navionics de toda a América do Sul;<br><br>* Rádio VHF Marítimo – Raymarine – Ray 55, com repetidor no comando;<br><br>* Rádio SSB Yaesu FT-857 D, de longo alcance com acoplador e antena;<br><br>* Estação de vento eletrônica Raymarine – ST 40;<br><br>* Barômetro e termômetro analógico de alta precisão;<br><br>* Ecobatímetro Raymarine – ST 40;<br><br>* Inversor de 2000 W (proporciona energia 110 V em toda a embarcação);<br><br>* Piloto automático Raymarine, série 6002;<br><br>* Carregador de baterias Xantrex Truecharge II de 40 Amp;<br><br>* Conjunto de oito placas solares Kyocera para recarregar as baterias e três controladores de carga Sunforce, num total de 950 watts de energia limpa instalada (sendo 6 x 130 watts e 2 x 85 watts);<br><br>* Dois geradores eólicos Air X Marine (geração individual de até 400 watts e total de até 800 watts), para proporcionar energia limpa principalmente durante a noite;<br><br>* Bote de apoio de fibra com 3,5 m e motor de popa Mercury 5 Hp;<br><br>* Bolsa de salvatagem com pirotécnicos (4 foguetes manuais de estrela vermelha com pára-quedas, 4 fachos manuais luz vermelha e 4 sinais fumígeros flutuantes de cor laranja - Navegação Oceânica);<br><br>* Coletes Salva-Vidas Classe I (SOLAS);<br><br>* Balsa Salva-Vidas Classe II, para 10 pessoas, Fabricante: Angevinier, adquirida em maio de 2014, com vistoria válida até setembro de 2019;<br><br>* Duas boias circulares;<br><br>* Extintores de Incêndio ABC, de 2 Kg;<br><br>* Cintos de segurança;<br><br>* Guincho elétrico 1000 watts novo (instalado em agosto de 2018).</p>"
"
		Veleiro Bruce Farr 38 - Cruzeiro Para Toda Prova
	",225.000,"<p>BRUCE FARR 38 ANO 1986 (Farr 11.6) <br><br>FABRICAÇÃO ESTALEIRO BRACUY - ANGRA DOS REIS - RJ<br>MOTOR YANMAR 40 HPS COM APROXIMADAMANTE 300 HORAS DE USO COM EIXO E SELO MECÂNICO.<br>BARCO SECO SEM RISCO DE ENTRADA DE ÁGUA PELO EIXO<br>HÉLICE FOLDING GORY 2014 + HÉLICE RESERVA DE 03 PÁS<br>RODA DE LEME COM PEDESTAL E INSTRUMENTOS RAYNARINE (PROFUNDIDADE, VELOCIDADE E ESTAÇÃO DE VENTO).<br>PILOTO AUTOMÁTICO<br>RADAR JRC, RÁDIO VHF E DVD COM AUTO FALANTES MARINIZADOS + PONTO PARA TV<br>FOGÃO COM FORNO EM AÇO INOX (2014)<br>GELADEIRA ELÉTRICA (2014)<br>02 PAINÉIS DE ENERGIA SOLAR SIEMENS COM CONTROLADOR DE CARGA<br>BANCO DE BATERIAS COM CHAVE PARA MOTOR E DE SERVIÇO (2014)<br>UM BANHEIRO COM VASO ELÉTRICO E EXAUSTOR MOVIDO A ENERGIA SOLAR (2014)<br>BOMBAS DE PORÃO E ALARME<br>PAINEL ELÉTRICO BLUE SEA IMPORTADO COMPLETO PARA CORRENTE ALTERNADA E CORRENTE CONTÍNUA (2014)<br>REDE ELÉTRICA NOVA (2014)<br>LUMINÁRIAS DE LED (2014)<br>INVERSOR <br>VELA MESTRA E GENOA OLIMPIC <br>VELA MESTRA DE TRANSPORTE OLIMPIC<br>MESTRA COM LAZY JACK, <br>PAU DE SPINAKER<br>BALAO SIMÉTRICO E ASSIMÉTRICO<br>CHUVEIRO DE POPA<br>DOG HOUSE E BIMINI NOVOS COM FECHAMENTO ENTRE AMBOS (2015)<br>GUINCHO ELÉTRICO PARA ANCORA<br>CHURRASQUEIRA EM INOX, SALVATAGEM COMPLETA<br>CATRACAS LEWMAR<br>ENROLADOR DE GENOA<br>BATENCAR NAUTOS<br>TARGA COM BANCOS EM INÓX (2015)<br>ESCOTAS E ADRIÇAS EM EXELENTE ESTADO<br>ESTOFAMENTO IMPECÁVEL<br>UM CAMAROTE DE PROA COM ARMÁRIOS E DOIS NA POPA<br>BARCO GUARDADO NO SECO<br>PANEIROS NOVOS (DEZ/2015) ENVERNIZADOS.<br>DOIS TANQUES DE ÁGUA DOCE, COM INTERLIGAÇÃO<br>JOGO DE MANICACAS <br>FERRAMENTAS<br>UM TANQUE DE DIESEL<br>RICO EM ESPAÇOS PARA GUARDA DE MATERIAIS<br>MESA DE NAVEGAÇÃO COM 4 GAVETAS,<br>MESA DE CENTRO<br>ANTE DERRAPANTE, CONVÉS EM EXCELENTE ESTADO, BARCO POLIDO EM FEV/2016<br>GAIUTAS LEWMAR COM CAPAS DE PROTEÇÃO NOVAS<br>CAIXA NA PROA COM GUINCHO ELÉTRICO, ANCORA DANFOR COM CORRENTE E CABO + ANCORA DE RESERVA <br><br>BARCO EM EXCELENTE ESTADO DE CONSERVAÇÃO</p>"
"
		Veleiro Flamingo 32  Oceanico    Yanmar 30gm30 Sail Drive
	",85.000,"<p>-Ancora 5kg com corrente inox de 3mts e cabo de 30mts<br>-Piloto automatico ST2000<br>-Spinaker<br>-bote de apoio 2.5mts<br>-Radio VHS<br>-Radio CD/player Mp3<br>-Fogao duas bocas c/ forno<br>-Painel solar 270watts<br>-Duas baterias 70Ah<br>-Bomba de porao (reserva)<br>-Poita no Saco de Ribiero Ubatuba, lugar priviliegiado para embarcaçao de ate 15T<br>-Bomba manual<br>-Vela mestra<br>-Moitao</p>"
